"YEAR","MONTH","DEP_NA","STATE_NA","SUP_NO","SUP_NA","GOO_NO","GOO_NA","QTY","TOTAL_SALES"
"2023","1","Automotive","Selangor","S3","Auto Avenue","AU001","Car Charger A","4573","130198.03"
"2023","2","Automotive","Selangor","S3","Auto Avenue","AU001","Car Charger A","2213","215064.93"
"2023","3","Automotive","Selangor","S3","Auto Avenue","AU001","Car Charger A","2619","167430.82"
"2023","4","Automotive","Selangor","S3","Auto Avenue","AU001","Car Charger A","3035","233914.05"
"2023","5","Automotive","Selangor","S3","Auto Avenue","AU001","Car Charger A","3059","166715.25"
"2023","6","Automotive","Selangor","S3","Auto Avenue","AU001","Car Charger A","2384","293417.72"
"2023","7","Automotive","Selangor","S3","Auto Avenue","AU001","Car Charger A","4823","356845.20"
"2023","8","Automotive","Selangor","S3","Auto Avenue","AU001","Car Charger A","189","174834.07"
"2023","9","Automotive","Selangor","S3","Auto Avenue","AU001","Car Charger A","662","456279.87"
"2023","10","Automotive","Selangor","S3","Auto Avenue","AU001","Car Charger A","3987","300086.02"
"2023","11","Automotive","Selangor","S3","Auto Avenue","AU001","Car Charger A","3617","364974.44"
"2023","12","Automotive","Selangor","S3","Auto Avenue","AU001","Car Charger A","2053","492160.82"
"2023","1","Automotive","Kuala Lumpur","S25","Jumpstart Junction","AU002","Jump Starter B","4360","299003.64"
"2023","2","Automotive","Kuala Lumpur","S25","Jumpstart Junction","AU002","Jump Starter B","4932","173128.27"
"2023","3","Automotive","Kuala Lumpur","S25","Jumpstart Junction","AU002","Jump Starter B","2070","438275.54"
"2023","4","Automotive","Kuala Lumpur","S25","Jumpstart Junction","AU002","Jump Starter B","1455","482456.58"
"2023","5","Automotive","Kuala Lumpur","S25","Jumpstart Junction","AU002","Jump Starter B","1874","123310.28"
"2023","6","Automotive","Kuala Lumpur","S25","Jumpstart Junction","AU002","Jump Starter B","2115","187552.31"
"2023","7","Automotive","Kuala Lumpur","S25","Jumpstart Junction","AU002","Jump Starter B","4363","288814.06"
"2023","8","Automotive","Kuala Lumpur","S25","Jumpstart Junction","AU002","Jump Starter B","3471","148705.63"
"2023","9","Automotive","Kuala Lumpur","S25","Jumpstart Junction","AU002","Jump Starter B","3586","381016.84"
"2023","10","Automotive","Kuala Lumpur","S25","Jumpstart Junction","AU002","Jump Starter B","1060","343780.70"
"2023","11","Automotive","Kuala Lumpur","S25","Jumpstart Junction","AU002","Jump Starter B","4174","188796.74"
"2023","12","Automotive","Kuala Lumpur","S25","Jumpstart Junction","AU002","Jump Starter B","884","176169.95"
"2023","1","Automotive","Penang","S48","Wax World","AU003","Car Wax C","3078","109422.14"
"2023","2","Automotive","Penang","S48","Wax World","AU003","Car Wax C","3099","215446.57"
"2023","3","Automotive","Penang","S48","Wax World","AU003","Car Wax C","2457","199082.25"
"2023","4","Automotive","Penang","S48","Wax World","AU003","Car Wax C","3091","220537.76"
"2023","5","Automotive","Penang","S48","Wax World","AU003","Car Wax C","153","111405.64"
"2023","6","Automotive","Penang","S48","Wax World","AU003","Car Wax C","3381","52508.44"
"2023","7","Automotive","Penang","S48","Wax World","AU003","Car Wax C","2343","368534.74"
"2023","8","Automotive","Penang","S48","Wax World","AU003","Car Wax C","1867","214025.95"
"2023","9","Automotive","Penang","S48","Wax World","AU003","Car Wax C","1020","36243.60"
"2023","10","Automotive","Penang","S48","Wax World","AU003","Car Wax C","3220","318644.45"
"2023","11","Automotive","Penang","S48","Wax World","AU003","Car Wax C","58","339061.39"
"2023","12","Automotive","Penang","S48","Wax World","AU003","Car Wax C","3180","389369.30"
"2023","1","Automotive","Johor","S10","Dash Drive","AU004","Dash Cam D","2273","140100.81"
"2023","2","Automotive","Johor","S10","Dash Drive","AU004","Dash Cam D","657","57847.05"
"2023","3","Automotive","Johor","S10","Dash Drive","AU004","Dash Cam D","1071","170585.63"
"2023","4","Automotive","Johor","S10","Dash Drive","AU004","Dash Cam D","1128","145320.06"
"2023","5","Automotive","Johor","S10","Dash Drive","AU004","Dash Cam D","63","182097.36"
"2023","6","Automotive","Johor","S10","Dash Drive","AU004","Dash Cam D","600","189886.28"
"2023","7","Automotive","Johor","S10","Dash Drive","AU004","Dash Cam D","3547","476230.52"
"2023","8","Automotive","Johor","S10","Dash Drive","AU004","Dash Cam D","3840","124011.86"
"2023","9","Automotive","Johor","S10","Dash Drive","AU004","Dash Cam D","4224","23169.50"
"2023","10","Automotive","Johor","S10","Dash Drive","AU004","Dash Cam D","2958","61879.17"
"2023","11","Automotive","Johor","S10","Dash Drive","AU004","Dash Cam D","2609","133914.77"
"2023","12","Automotive","Johor","S10","Dash Drive","AU004","Dash Cam D","3289","423334.65"
"2023","1","Automotive","Melaka","S19","Fresh Ride","AU005","Car Air Freshener E","2092","367237.62"
"2023","2","Automotive","Melaka","S19","Fresh Ride","AU005","Car Air Freshener E","3873","132896.57"
"2023","3","Automotive","Melaka","S19","Fresh Ride","AU005","Car Air Freshener E","2908","250681.42"
"2023","4","Automotive","Melaka","S19","Fresh Ride","AU005","Car Air Freshener E","1287","59987.02"
"2023","5","Automotive","Melaka","S19","Fresh Ride","AU005","Car Air Freshener E","4777","76268.92"
"2023","6","Automotive","Melaka","S19","Fresh Ride","AU005","Car Air Freshener E","2740","291905.07"
"2023","7","Automotive","Melaka","S19","Fresh Ride","AU005","Car Air Freshener E","743","280546.38"
"2023","8","Automotive","Melaka","S19","Fresh Ride","AU005","Car Air Freshener E","3639","467982.45"
"2023","9","Automotive","Melaka","S19","Fresh Ride","AU005","Car Air Freshener E","3138","497117.72"
"2023","10","Automotive","Melaka","S19","Fresh Ride","AU005","Car Air Freshener E","130","338464.52"
"2023","11","Automotive","Melaka","S19","Fresh Ride","AU005","Car Air Freshener E","2911","142390.69"
"2023","12","Automotive","Melaka","S19","Fresh Ride","AU005","Car Air Freshener E","1901","448564.40"
"2023","1","Books and Media","Selangor","S7","Book Bazaar","BM001","Non-Fiction Book A","493","439652.90"
"2023","2","Books and Media","Selangor","S7","Book Bazaar","BM001","Non-Fiction Book A","469","69661.08"
"2023","3","Books and Media","Selangor","S7","Book Bazaar","BM001","Non-Fiction Book A","2798","88707.10"
"2023","4","Books and Media","Selangor","S7","Book Bazaar","BM001","Non-Fiction Book A","1753","220510.15"
"2023","5","Books and Media","Selangor","S7","Book Bazaar","BM001","Non-Fiction Book A","376","264589.85"
"2023","6","Books and Media","Selangor","S7","Book Bazaar","BM001","Non-Fiction Book A","1647","185908.95"
"2023","7","Books and Media","Selangor","S7","Book Bazaar","BM001","Non-Fiction Book A","3913","36650.25"
"2023","8","Books and Media","Selangor","S7","Book Bazaar","BM001","Non-Fiction Book A","4323","216320.32"
"2023","9","Books and Media","Selangor","S7","Book Bazaar","BM001","Non-Fiction Book A","2404","309969.35"
"2023","10","Books and Media","Selangor","S7","Book Bazaar","BM001","Non-Fiction Book A","4691","8086.91"
"2023","11","Books and Media","Selangor","S7","Book Bazaar","BM001","Non-Fiction Book A","858","406865.60"
"2023","12","Books and Media","Selangor","S7","Book Bazaar","BM001","Non-Fiction Book A","2762","403896.88"
"2023","1","Books and Media","Kuala Lumpur","S13","Drama Depot","BM002","Drama Movie B","1921","367104.11"
"2023","2","Books and Media","Kuala Lumpur","S13","Drama Depot","BM002","Drama Movie B","4946","170197.01"
"2023","3","Books and Media","Kuala Lumpur","S13","Drama Depot","BM002","Drama Movie B","4289","257401.70"
"2023","4","Books and Media","Kuala Lumpur","S13","Drama Depot","BM002","Drama Movie B","3657","161965.99"
"2023","5","Books and Media","Kuala Lumpur","S13","Drama Depot","BM002","Drama Movie B","2432","419446.53"
"2023","6","Books and Media","Kuala Lumpur","S13","Drama Depot","BM002","Drama Movie B","4750","356597.13"
"2023","7","Books and Media","Kuala Lumpur","S13","Drama Depot","BM002","Drama Movie B","1484","126269.29"
"2023","8","Books and Media","Kuala Lumpur","S13","Drama Depot","BM002","Drama Movie B","3911","244711.89"
"2023","9","Books and Media","Kuala Lumpur","S13","Drama Depot","BM002","Drama Movie B","4818","394290.75"
"2023","10","Books and Media","Kuala Lumpur","S13","Drama Depot","BM002","Drama Movie B","4630","422448.60"
"2023","11","Books and Media","Kuala Lumpur","S13","Drama Depot","BM002","Drama Movie B","534","232659.44"
"2023","12","Books and Media","Kuala Lumpur","S13","Drama Depot","BM002","Drama Movie B","740","39769.30"
"2023","1","Books and Media","Penang","S34","Rock Reads","BM003","Rock Album C","3122","16560.85"
"2023","2","Books and Media","Penang","S34","Rock Reads","BM003","Rock Album C","3437","142000.84"
"2023","3","Books and Media","Penang","S34","Rock Reads","BM003","Rock Album C","3089","25885.24"
"2023","4","Books and Media","Penang","S34","Rock Reads","BM003","Rock Album C","3065","143299.53"
"2023","5","Books and Media","Penang","S34","Rock Reads","BM003","Rock Album C","1073","308461.12"
"2023","6","Books and Media","Penang","S34","Rock Reads","BM003","Rock Album C","3886","230256.84"
"2023","7","Books and Media","Penang","S34","Rock Reads","BM003","Rock Album C","601","21394.72"
"2023","8","Books and Media","Penang","S34","Rock Reads","BM003","Rock Album C","1586","74597.52"
"2023","9","Books and Media","Penang","S34","Rock Reads","BM003","Rock Album C","1957","46543.71"
"2023","10","Books and Media","Penang","S34","Rock Reads","BM003","Rock Album C","4078","102978.26"
"2023","11","Books and Media","Penang","S34","Rock Reads","BM003","Rock Album C","58","432701.44"
"2023","12","Books and Media","Penang","S34","Rock Reads","BM003","Rock Album C","334","467158.90"
"2023","1","Books and Media","Johor","S21","Game Galaxy","BM004","Simulation Game D","4847","461494.96"
"2023","2","Books and Media","Johor","S21","Game Galaxy","BM004","Simulation Game D","2308","194413.18"
"2023","3","Books and Media","Johor","S21","Game Galaxy","BM004","Simulation Game D","2539","342223.10"
"2023","4","Books and Media","Johor","S21","Game Galaxy","BM004","Simulation Game D","4313","225599.66"
"2023","5","Books and Media","Johor","S21","Game Galaxy","BM004","Simulation Game D","2986","278966.02"
"2023","6","Books and Media","Johor","S21","Game Galaxy","BM004","Simulation Game D","177","76492.82"
"2023","7","Books and Media","Johor","S21","Game Galaxy","BM004","Simulation Game D","3474","218166.76"
"2023","8","Books and Media","Johor","S21","Game Galaxy","BM004","Simulation Game D","1116","128852.92"
"2023","9","Books and Media","Johor","S21","Game Galaxy","BM004","Simulation Game D","250","34848.32"
"2023","10","Books and Media","Johor","S21","Game Galaxy","BM004","Simulation Game D","1499","232547.51"
"2023","11","Books and Media","Johor","S21","Game Galaxy","BM004","Simulation Game D","3609","470526.87"
"2023","12","Books and Media","Johor","S21","Game Galaxy","BM004","Simulation Game D","4371","231482.60"
"2023","1","Books and Media","Melaka","S36","Sci-Fi Stop","BM005","Science Fiction Book E","4908","272788.26"
"2023","2","Books and Media","Melaka","S36","Sci-Fi Stop","BM005","Science Fiction Book E","1188","46062.38"
"2023","3","Books and Media","Melaka","S36","Sci-Fi Stop","BM005","Science Fiction Book E","3389","143456.80"
"2023","4","Books and Media","Melaka","S36","Sci-Fi Stop","BM005","Science Fiction Book E","2409","198098.76"
"2023","5","Books and Media","Melaka","S36","Sci-Fi Stop","BM005","Science Fiction Book E","1752","464446.76"
"2023","6","Books and Media","Melaka","S36","Sci-Fi Stop","BM005","Science Fiction Book E","4073","181694.57"
