"store","date","total_sales"
"101","2014-01-01 00:00:00","1341.68"
"101","2014-01-03 00:00:00","381.02"
"101","2014-01-04 00:00:00","426.97"
"101","2014-01-05 00:00:00","580.46"
"101","2014-01-06 00:00:00","794.61"
"101","2014-01-07 00:00:00","1231.12"
"101","2014-01-10 00:00:00","262.31"
"101","2014-02-03 00:00:00","1035.12"
"101","2014-02-04 00:00:00","798.66"
"101","2014-02-05 00:00:00","692.52"
"101","2014-02-06 00:00:00","689.13"
"101","2014-02-07 00:00:00","35.89"
"101","2015-01-03 00:00:00","602.38"
"101","2015-01-04 00:00:00","1244.84"
"101","2015-01-05 00:00:00","330.81"
"101","2015-01-06 00:00:00","547.47"
"101","2015-01-07 00:00:00","1564.22"
"101","2015-01-08 00:00:00","1123.38"
"101","2015-02-03 00:00:00","610.87"
"101","2015-02-04 00:00:00","8.02"
"101","2015-02-05 00:00:00","1018.42"
"101","2016-01-03 00:00:00","64.16"
"101","2017-01-06 00:00:00","566.41"
"101","2017-01-07 00:00:00","664.05"
"101","2019-01-03 00:00:00","294.34"
"101","2021-01-03 00:00:00","887.27"
"101","2021-01-04 00:00:00","432.94"
"101","2021-01-06 00:00:00","470.13"
"101","2021-01-07 00:00:00","567.24"
"101","2021-01-12 00:00:00","143.13"
"101","2021-02-03 00:00:00","371.70"
"101","2022-01-03 00:00:00","1089.64"
"101","2022-01-04 00:00:00","723.99"
"101","2022-01-05 00:00:00","1166.36"
"101","2022-01-06 00:00:00","238.70"
"101","2022-01-07 00:00:00","1138.61"
"101","2022-01-08 00:00:00","851.92"
"101","2022-01-09 00:00:00","998.14"
"101","2022-01-12 00:00:00","125.48"
"101","2022-02-03 00:00:00","95.53"
"101","2022-02-08 00:00:00","491.46"
"101","2022-02-09 00:00:00","261.22"
"101","2022-02-12 00:00:00","1223.64"
"101","2022-03-10 00:00:00","1194.09"
"101","2022-03-11 00:00:00","1139.49"
"101","2022-03-12 00:00:00","23.24"
"101","2022-04-10 00:00:00","103.41"
"101","2022-04-11 00:00:00","169.47"
"101","2023-01-01 00:00:00","691.76"
"101","2023-01-02 00:00:00","601.48"
"101","2023-01-06 00:00:00","642.73"
"101","2023-01-07 00:00:00","956.85"
"101","2023-01-08 00:00:00","606.93"
"101","2023-01-09 00:00:00","205.51"
"101","2023-01-10 00:00:00","1119.60"
"101","2023-01-11 00:00:00","1166.08"
"101","2023-01-12 00:00:00","1159.29"
"101","2023-02-01 00:00:00","444.66"
"101","2023-02-02 00:00:00","542.83"
"101","2023-02-06 00:00:00","591.68"
"101","2023-02-07 00:00:00","404.82"
"101","2023-02-10 00:00:00","319.86"
"101","2023-02-11 00:00:00","217.56"
"101","2023-03-03 00:00:00","460.86"
"101","2023-03-04 00:00:00","863.37"
"101","2023-03-05 00:00:00","684.12"
"101","2023-04-03 00:00:00","814.23"
"101","2023-04-04 00:00:00","369.39"
"101","2023-04-05 00:00:00","448.43"
"111","2014-01-01 00:00:00","38.06"
"111","2014-01-02 00:00:00","1022.29"
"111","2014-01-08 00:00:00","339.12"
"111","2014-01-09 00:00:00","412.84"
"111","2014-01-10 00:00:00","1242.74"
"111","2014-01-12 00:00:00","1282.97"
"111","2014-02-01 00:00:00","1050.04"
"111","2014-02-03 00:00:00","257.88"
"111","2014-02-04 00:00:00","699.24"
"111","2014-02-05 00:00:00","346.30"
"111","2014-02-06 00:00:00","741.64"
"111","2014-02-07 00:00:00","1134.04"
"111","2014-02-10 00:00:00","142.92"
"111","2014-03-01 00:00:00","240.83"
"111","2014-03-03 00:00:00","965.82"
"111","2014-03-04 00:00:00","588.38"
"111","2014-03-05 00:00:00","969.13"
"111","2014-03-06 00:00:00","570.42"
"111","2015-01-06 00:00:00","558.47"
"111","2015-01-08 00:00:00","291.91"
"111","2015-01-10 00:00:00","682.40"
"111","2015-01-11 00:00:00","410.28"
"111","2015-01-12 00:00:00","300.95"
"111","2015-02-03 00:00:00","643.22"
"111","2015-02-04 00:00:00","1352.04"
"111","2015-02-05 00:00:00","662.97"
"111","2015-02-06 00:00:00","749.98"
"111","2015-02-07 00:00:00","1140.05"
"111","2015-02-08 00:00:00","976.92"
"111","2015-03-03 00:00:00","665.68"
"111","2015-03-05 00:00:00","660.77"
"111","2015-03-07 00:00:00","117.20"
"111","2016-01-02 00:00:00","39.71"
"111","2016-01-03 00:00:00","1065.81"
"111","2016-01-05 00:00:00","101.72"
"111","2016-01-10 00:00:00","212.34"
"111","2016-02-03 00:00:00","319.53"
"111","2017-01-03 00:00:00","1239.16"
"111","2017-01-05 00:00:00","447.75"
"111","2017-01-06 00:00:00","559.38"
"111","2017-01-07 00:00:00","466.55"
"111","2017-01-08 00:00:00","607.26"
"111","2017-01-12 00:00:00","495.13"
"111","2017-02-06 00:00:00","690.18"
"111","2017-02-07 00:00:00","953.04"
"111","2018-01-03 00:00:00","886.86"
"111","2018-01-04 00:00:00","810.79"
"111","2018-01-05 00:00:00","991.70"
"111","2018-01-09 00:00:00","328.40"
"111","2019-01-03 00:00:00","761.43"
"111","2019-01-04 00:00:00","608.65"
"111","2019-01-05 00:00:00","366.08"
"111","2019-01-08 00:00:00","302.38"
"111","2019-02-03 00:00:00","483.02"
"111","2021-01-04 00:00:00","968.25"
"111","2021-01-05 00:00:00","990.31"
"111","2021-01-06 00:00:00","1032.27"
"111","2021-01-07 00:00:00","406.61"
"111","2021-01-08 00:00:00","743.09"
"111","2021-01-10 00:00:00","869.57"
"111","2021-01-11 00:00:00","269.23"
"111","2021-01-12 00:00:00","795.06"
"111","2021-02-03 00:00:00","764.21"
"111","2021-02-04 00:00:00","282.65"
"111","2021-02-06 00:00:00","228.86"
"111","2021-02-07 00:00:00","807.16"
"111","2021-02-08 00:00:00","124.22"
"111","2021-02-12 00:00:00","473.88"
"111","2021-03-03 00:00:00","311.86"
"111","2022-01-04 00:00:00","424.47"
"111","2022-01-05 00:00:00","24.57"
"111","2022-01-06 00:00:00","961.02"
"111","2022-01-07 00:00:00","395.15"
"111","2022-02-03 00:00:00","963.94"
"111","2022-02-04 00:00:00","928.78"
"111","2022-02-05 00:00:00","1201.30"
"111","2022-02-06 00:00:00","327.68"
"111","2022-02-07 00:00:00","879.98"
"111","2022-02-08 00:00:00","752.59"
"111","2022-02-09 00:00:00","811.03"
"111","2022-03-03 00:00:00","271.45"
"111","2022-03-05 00:00:00","94.99"
"111","2022-03-08 00:00:00","627.33"
"111","2022-03-09 00:00:00","565.68"
"111","2022-03-12 00:00:00","1168.66"
"111","2022-04-10 00:00:00","739.61"
"111","2022-04-11 00:00:00","1173.99"
"111","2022-04-12 00:00:00","283.31"
"111","2022-05-10 00:00:00","442.29"
"111","2022-05-11 00:00:00","232.45"
"111","2023-01-08 00:00:00","644.43"
"111","2023-01-09 00:00:00","1375.83"
"111","2023-01-12 00:00:00","36.09"
"111","2023-02-01 00:00:00","754.27"
"111","2023-02-02 00:00:00","475.41"
"111","2023-02-06 00:00:00","493.29"
"111","2023-02-07 00:00:00","1061.02"
"111","2023-02-08 00:00:00","819.25"
"111","2023-02-09 00:00:00","87.76"
"111","2023-02-10 00:00:00","989.07"
"111","2023-02-11 00:00:00","1128.73"
"111","2023-02-12 00:00:00","1284.69"
"111","2023-03-01 00:00:00","550.45"
"111","2023-03-02 00:00:00","817.77"
"111","2023-03-06 00:00:00","733.43"
"111","2023-03-07 00:00:00","232.01"
"111","2023-03-10 00:00:00","145.97"
"111","2023-03-11 00:00:00","291.02"
"111","2023-03-12 00:00:00","39.96"
"111","2023-04-03 00:00:00","450.78"
"111","2023-04-04 00:00:00","484.32"
"111","2023-04-05 00:00:00","848.36"
"111","2023-05-03 00:00:00","840.29"
"111","2023-05-04 00:00:00","778.26"
"111","2023-05-05 00:00:00","455.02"
"121","2014-01-02 00:00:00","440.48"
"121","2014-01-08 00:00:00","1029.50"
"121","2014-01-09 00:00:00","722.57"
"121","2014-01-11 00:00:00","241.98"
"121","2014-01-12 00:00:00","163.10"
"121","2014-02-02 00:00:00","925.40"
"121","2014-02-08 00:00:00","342.81"
"121","2014-02-09 00:00:00","504.93"
"121","2014-02-10 00:00:00","1035.45"
"121","2014-02-12 00:00:00","1070.75"
"121","2014-03-01 00:00:00","1282.39"
"121","2014-03-03 00:00:00","191.20"
"121","2014-03-04 00:00:00","719.83"
"121","2014-03-05 00:00:00","91.49"
"121","2014-03-06 00:00:00","947.96"
"121","2014-03-07 00:00:00","1398.73"
"121","2014-03-10 00:00:00","415.02"
"121","2014-03-12 00:00:00","46.36"
"121","2014-04-01 00:00:00","201.83"
"121","2014-04-03 00:00:00","1104.35"
"121","2014-04-04 00:00:00","548.49"
"121","2014-04-05 00:00:00","1179.13"
"121","2014-04-06 00:00:00","419.46"
"121","2014-05-05 00:00:00","108.06"
"121","2015-01-01 00:00:00","804.76"
"121","2015-01-02 00:00:00","358.51"
"121","2015-01-09 00:00:00","1195.24"
"121","2015-01-10 00:00:00","878.18"
"121","2015-01-11 00:00:00","834.51"
"121","2015-01-12 00:00:00","931.73"
"121","2015-02-04 00:00:00","202.27"
"121","2015-02-06 00:00:00","756.41"
"121","2015-02-08 00:00:00","222.11"
"121","2015-02-10 00:00:00","588.54"
"121","2015-02-11 00:00:00","448.97"
"121","2015-02-12 00:00:00","325.30"
"121","2015-03-03 00:00:00","412.65"
"121","2015-03-04 00:00:00","1102.29"
"121","2015-03-05 00:00:00","661.47"
"121","2015-03-06 00:00:00","459.55"
"121","2015-03-07 00:00:00","1296.29"
"121","2015-03-08 00:00:00","1165.09"
"121","2015-04-03 00:00:00","873.65"
"121","2015-04-05 00:00:00","649.57"
"121","2016-01-01 00:00:00","603.27"
"121","2016-01-02 00:00:00","1035.19"
"121","2016-01-05 00:00:00","1458.69"
"121","2016-01-07 00:00:00","107.56"
"121","2016-01-10 00:00:00","1062.09"
"121","2016-01-12 00:00:00","892.64"
"121","2016-02-02 00:00:00","191.86"
"121","2016-02-03 00:00:00","1149.09"
"121","2016-02-10 00:00:00","125.76"
"121","2016-03-03 00:00:00","150.73"
"121","2017-01-03 00:00:00","150.22"
"121","2017-01-04 00:00:00","907.04"
"121","2017-01-05 00:00:00","1211.20"
"121","2017-01-08 00:00:00","1010.66"
"121","2017-01-09 00:00:00","80.67"
"121","2017-01-10 00:00:00","1052.03"
"121","2017-01-11 00:00:00","805.03"
"121","2017-01-12 00:00:00","291.70"
"121","2017-02-03 00:00:00","1228.10"
"121","2017-02-05 00:00:00","143.10"
"121","2017-02-06 00:00:00","665.94"
"121","2017-02-07 00:00:00","709.31"
"121","2017-02-08 00:00:00","231.53"
"121","2017-02-12 00:00:00","1037.54"
"121","2017-03-06 00:00:00","691.30"
"121","2017-03-07 00:00:00","425.01"
"121","2018-01-03 00:00:00","294.07"
"121","2018-01-04 00:00:00","112.69"
"121","2018-01-05 00:00:00","461.60"
"121","2018-01-06 00:00:00","903.97"
"121","2018-01-07 00:00:00","1367.75"
"121","2018-01-08 00:00:00","795.80"
"121","2018-01-09 00:00:00","1024.39"
"121","2018-01-10 00:00:00","647.01"
"121","2018-01-11 00:00:00","258.04"
"121","2018-01-12 00:00:00","1137.26"
"121","2018-02-03 00:00:00","1046.06"
"121","2018-02-04 00:00:00","1086.09"
"121","2018-02-05 00:00:00","688.86"
"121","2018-02-09 00:00:00","130.59"
"121","2019-01-04 00:00:00","727.78"
"121","2019-01-05 00:00:00","1188.11"
"121","2019-01-06 00:00:00","1029.78"
"121","2019-01-07 00:00:00","1271.01"
"121","2019-01-08 00:00:00","959.49"
"121","2019-02-03 00:00:00","792.68"
"121","2019-02-04 00:00:00","480.43"
"121","2019-02-05 00:00:00","86.17"
"121","2019-02-07 00:00:00","27.12"
"121","2019-02-08 00:00:00","414.06"
"121","2019-03-03 00:00:00","523.23"
"121","2020-01-03 00:00:00","305.77"
"121","2020-01-04 00:00:00","318.06"
"121","2021-01-05 00:00:00","60.76"
"121","2021-01-09 00:00:00","640.60"
"121","2021-01-10 00:00:00","567.02"
"121","2021-01-11 00:00:00","897.58"
"121","2021-02-04 00:00:00","1300.34"
"121","2021-02-05 00:00:00","1282.04"
"121","2021-02-06 00:00:00","1026.36"
"121","2021-02-07 00:00:00","379.14"
"121","2021-02-08 00:00:00","1394.59"
"121","2021-02-10 00:00:00","639.58"
"121","2021-02-11 00:00:00","524.76"
"121","2021-02-12 00:00:00","727.15"
"121","2021-03-03 00:00:00","1208.01"
"121","2021-03-05 00:00:00","49.11"
"121","2021-03-06 00:00:00","353.39"
"121","2021-03-07 00:00:00","1121.33"
"121","2021-03-12 00:00:00","499.93"
"121","2021-04-03 00:00:00","5.15"
"121","2022-01-01 00:00:00","802.29"
"121","2022-01-02 00:00:00","526.42"
"121","2022-02-04 00:00:00","512.58"
"121","2022-02-06 00:00:00","983.42"
"121","2022-02-07 00:00:00","272.84"
"121","2022-03-03 00:00:00","1399.21"
"121","2022-03-04 00:00:00","856.77"
"121","2022-03-05 00:00:00","1048.81"
"121","2022-03-06 00:00:00","260.01"
"121","2022-03-07 00:00:00","951.73"
"121","2022-03-08 00:00:00","421.70"
"121","2022-03-09 00:00:00","807.11"
"121","2022-04-03 00:00:00","85.59"
"121","2022-04-05 00:00:00","314.60"
"121","2022-04-08 00:00:00","736.09"
"121","2022-04-09 00:00:00","579.78"
"121","2022-04-12 00:00:00","1084.27"
"121","2022-05-10 00:00:00","541.91"
"121","2022-05-11 00:00:00","1064.74"
"121","2022-05-12 00:00:00","107.71"
"121","2022-06-10 00:00:00","934.46"
"121","2022-06-11 00:00:00","219.99"
"121","2023-02-08 00:00:00","665.46"
"121","2023-02-09 00:00:00","1007.77"
"121","2023-03-01 00:00:00","531.61"
"121","2023-03-02 00:00:00","398.32"
